uncertain|adj.不确定的；不稳定的；易变的
self-defense|n.自卫；[法]正当防卫
piggy|n.小猪; adj.贪心的
pod|n.豆荚；分离舱; n.(海豹或鲸等的)一群; v.剥掉(豆荚)
rub|v.擦；摩擦；搓；惹恼; n.困难；障碍；擦
tumble|v.暴跌；倒塌；跌倒；翻滚；弄乱；明白；突然发现; n.暴跌；跌跤；混乱
buyer|n.买方
haircuts|(纸面)微裂痕,毛痕,粘丝,贴丝
harp|n.竖琴; v.反复诉说；唠叨
grill|n.烤架；铁格子；烧烤(食物); vt.拷问；(在烤架上)烤
in-|pref.表示“否定；与...相反”之义
shed|vt.除掉；使脱落；使流出；使清晰; n.小屋；车棚
wow|n.巨大的成功; int.哇！; vt.使热烈赞赏
chuckle|v.轻声笑；咯咯笑；暗自笑; n.轻声笑；咯咯笑
papa|n.爸爸
wizard|n.【C】男巫；术士；鬼才
departments|政府部门
fennec|n.[动]一种非洲产的大耳小狐
jury|n.陪审团；评委会; adj.临时用的; vt.挑选
pedal|n.踏板；乐器的脚踏键; v.用脚踏动；踩踏板
butler|n.男管家；仆役长
hand-|表示"手的","有手的","用手的","手工的"
burg|n.镇；城；城堡
bossy|adj.专横的；爱发号施令的; n.母牛或者小牛
lizard|n.蜥蜴
scotia|n.凹形边饰; Scotia.; n.苏格夏(苏格兰的拉丁名称)
shave|v.刮；剃；修剪；掠过；削减; n.剃须；修面；剃刀
bony|adj.如骨的；多骨的；瘦骨嶙峋的
triangle|n.三角(形)
dogsled|n.狗拉雪撬
tangles|缠结
gel|n.凝胶；发胶；彩色透明滤光板; vi.团结一体；变得清晰；变得浓稠; vt.上发胶
coyote|n.小狼；丛林狼
blink|v.眨眼；闪烁；拒绝承认或面对；用闪光灯传送信号; n.眨眼；闪光；一瞬间
frogs|辙叉
ponytail|n.(女子的)马尾发型
landforms|地形
vice|n.缺点；恶习；邪恶；罪行；生理缺陷; adj.副的；代理的; prep.代替; pref.代理的；副的; n.老虎钳
brightly|adv.生辉地；明亮地；鲜明地
coop|n.笼子; v.把…关起来
grind|v.磨；压迫；碾碎；磨得吱吱响；逐渐停顿; n.苦事；磨；碾
reds|n.[俚]红胶丸(安眠药的俚称)
lick|v.舔；轻拍；击败；掠过; n.舔；少许；打；速度
babe|n.小孩；不知世故的人；女孩(=girl)
grassy|adj.长满草的；草绿色的；像草的
sharply|adv.锐利地；严厉地；厉害地；轮廓清晰、线条分明地
freezer|n.冰箱；冷冻室
vision|n.视力；视觉；幻觉；眼光；洞察力；想象力; v.幻想；设想
purely|adv.纯粹地；清白地；纯洁地
protective|adj.保护的；防卫的
emperor|n.皇帝
cane|n.手杖；细长的茎；藤条; vt.以杖击；以藤编制的
barbershop|n.理发店; adj.四重唱的；无伴奏重唱的
notepad|n.记事本；笔记本
firs|[计]先前的
wholesome|adj.有益健康的；合乎卫生的
spectacular|adj.壮观的；令人惊叹的; n.壮观；豪华节目
tan|n.棕褐色；黝黑; v.晒黑；鞣(革)；痛打; adj.棕褐色的
bet|v.打赌；确信无疑; n.赌注；确信
foam|n.泡沫；汗; v.起泡沫；吐口沫；愤怒；沸腾
plums|n.李子
fiesta|n.(西班牙语国家的)宗教节日；节日；假日
nova|n.新星
buffalo|n.水牛；野牛；水陆坦克; vt.威吓；欺骗；迷惑
frame|n.骨架；身躯；结构；框；帧; v.表达；制定；把...框起来；陷害
maiden|n.未婚女子；少女；断头机；从未赢过的赛马; adj.未婚的；处女的；初次的
bucket|n.【C】水桶；（机器上的）桶装物；大量; vi.颠簸行进；下倾盆大雨; vt.装在桶里
keep-away|n.【美】抓球游戏
parachute|n.降落伞；缓降物；[动]翅膜; v.跳伞；用降落伞空投
ladder|n.阶梯；梯子；梯状物
tons|ad.[口]极其；非常
padding|n.垫充；垫塞；填料；废话
scissors|n.剪刀
marker|n.标记；做记号的工具；做记号的人；记分员
selecting|选择
den|n.兽穴；集聚地; v.穴居
pirate|n.海盗；盗版者; v.盗版；抢劫；剽窃
missy|n.小姐；姑娘；少女
canoe|n.独木舟; v.乘独木舟；用独木舟运
memorials|n.纪录
squeeze|v.挤压；塞进；压榨；设法腾出; n.挤压；少量；拥挤；严控；财政困难
roadway|n.车行道
ward|n.病房；行政区；监护；守卫；受监护人; vt.守护；躲开
crawly|adj.痒痒的；悚然的
portrait|n.肖像；画像；描写
knight|n.骑士；爵士；武士; vt.授以爵位
spandrel|n.【建】三角拱腹; =spandril
chestnuts|栗
louder|adj.更大声的
chick|n.小鸡；少妇; adj.胆小的；懦弱的
whack|v.敲击；重打；瓜分; n.重击；重打；尝试；一份
enforce|vt.强迫；强制；实施；执行；加强
gown|n.长袍；长外衣
sadness|n.悲哀
sleigh|n.雪橇; vi.坐雪橇
owners|业主
bake|v.烤；烘焙；烘干；灼热
sigh|n.叹气；叹息; v.叹息；惋惜
credits|演职员名单
tack|n.大头钉；行动方针; v.以大头针钉住；附加
coven|n.(尤指十三个)女巫的集会；大聚会
carvings|雕刻品
glow|n.光辉；热情；赤热; vi.发红光；红光焕发
jupe|n.上衣；胸衣；女裙
firefighting|n.消防
picks|精选
scribble|v.潦草地书写；乱写; n.潦草的写法
bedtime|n.就寝时间
inti|monetaryunitofPeru秘鲁货币单位；n.；英蒂(1985&#8212;1990年秘鲁货币单位)
blend|v.混合; n.混合物
shady|adj.荫凉的；可疑的
stormy|adj.暴风雨的；激烈的；粗暴的
gravestone|n.墓碑
levy|n.征税；召集; vt.征收；发动; vi.强收
opponent|n.对手；反对者；敌手; adj.反对的；敌对的
stranger|n.陌生人；外地人；新手
murmur|v.低语；发出连续轻柔的声音；低声抱怨; n.低语；连续轻柔的声音；低声的抱怨；[医]心区杂音
barber|n.理发师; vi.当理发师; vt.给…理发；修剪
mons|n.隆凸；山；阜
parafoil|n.[空]翼伞
vibrate|vt.(使)振动；(使)摇摆; vi.回响；颤动
bowling|n.保龄球
tank|n.箱；罐；槽；贮水池；坦克; vt.把...储于槽中
stunt|n.特技；阻碍成长; vt.阻碍成长；表演特技
organ|n.器官；风琴；机构；喉舌；报刊
lyrics|n.抒情诗；歌词
vault|n.窖；穹；地下室；撑竿跳; vt.做成圆拱形；撑竿跳跃; vi.跳跃
beak|n.鸟嘴；鸟嘴状物体；鹰钩鼻; n.地方治安官；校长
fairy|n.仙女；小精灵; adj.优雅的；幻想中的；虚构的
mama|n.母亲；妈妈
midnight|n.午夜；漆黑
extinguisher|n.灭火器；熄灭者；消除器
protector|n.保护人；保护物；保护装置
box-shaped|adj.箱形的
amazon|n.亚马逊河; n.高大强壮的女人
pumpkin|n.南瓜
altar|n.(教堂内的)圣坛；祭坛
paw|n.脚爪；爪子；手; v.以蹄扒；抓；粗鲁地摸；翻找
lo|int.瞧!；看！
beep|n.哔哔声; vt.产生（如号角）声音; vi.吹号；发出哔哔声
happily|adv.幸福地；快乐地；幸好；恰当地; 形容词happy的副词形式.
rainbow|n.彩虹；五彩缤纷的排列；幻想
catcher|n.捕手；接球员；捕捉者；捕捉器
worm|n.虫；蠕虫; v.蠕动；驱虫；慢慢获取
hi|int.嗨(引人注意时的喊声；打招呼)
bridgeman|n.架桥工人;在船坞处理渡船的载货者
flour|n.面粉；粉末; v.研成粉末；撒上粉
professionals|adj.职业的;专业的; n.专家;内行
delta|n.(河流的)三角洲；希腊语第四个字母（Δ、δ）
airports|机场
taffy|n.太妃糖；献媚; Taffy; n.威尔士佬
twirl|v.快速转动；扭转; n.扭转；旋转的东西
observatory|n.天文台；气象台；了望台
maid|n.【C】女仆；侍女; n.【古】未婚女子
pul|n.普尔(阿富汗货币单位)
athletes|运动员
colleges|高校
bat|n.球棒；球拍; n.蝙蝠; v.用棒击打；拍打; v.眨眼睛
boxed|vbl.装箱
straw|n.稻草；吸管；麦杆；不值钱的东西; adj.用稻草做的；麦杆色的；无价值的；像稻草人的；非正式民意测验所发现的
hermit|n.隐士；遁世者
cultivate|vt.栽培；耕作；培养；陶冶；结交(朋友)
consume|v.消耗；吃喝；毁灭
drive-in|adj.免下车的; n.顾客无需下车即可得到服务的餐馆
contributor|n.贡献者；捐助者；赠送者；投稿人；原因
pit|n.坑；矿井；陷阱；凹痕；(剧院的)正厅后排；（枣）核; vt.使凹陷；使竞争; vi.凹陷
proteins|蛋白质
repellent|n.驱虫剂；防水剂; adj.令人厌恶的；排斥的；驱除的；防水的
rib|n.肋骨；肋状物; vt.装肋于；用肋状物支撑
pot|n.罐；壶；一大笔(钱)；奖杯（尤指银杯）；大麻; v.把...装罐；射猎；(台球)入袋
butterfly|n.蝴蝶；蝶状物；蝶泳; vt.(烹饪时把鱼肉等）切开摊平
soda|n.汽水；苏打
desertion|n.开小差；遗弃；潜逃
partnership|n.合伙人身份；合股；合伙经营
yearbook|n.年鉴
climbers|脚扣
yemeni|adj.也门的; n.也门人
unsure|adj.不肯定的；不确定的；没有自信的
equator|n.赤道
closest|adj.最靠近的
blue-green|蓝绿色
bearded|adj.有胡须的
paste|n.面团；浆糊；糊状物；糊; vt.裱糊；粘贴
leaf|n.页；叶；金属薄片; v.长叶；翻页
religions|宗教
hatch|n.孵化；舱口，舱口盖; v.孵；孵出；策划
shift|v.移动；改变；换挡；字型转换; n.轮班；变化；移动；计谋；轮班职工
lover|n.情人；爱好者
finale|n.终曲；结局
franklin|n.小地主；乡绅
infection|n.传染；传染病；影响
politically|adv.政治上地
relocate|v.重新装置；再配置；放在新地方
favor|n.偏爱；好意；特权；赞成; vt.偏爱；给予；支持；关心；利于；长得像
puffy|adj.浮肿的；膨胀的；肥满的
co-exist|vi.并存
item|n.项目；条款；一件商品（或物品）；一则或一条新闻; adv.也
vegetarian|n.素食者; adj.素食的
westernize|v.使...西洋化；使...欧化
sonny|n.小弟弟；宝贝（用作对小男孩或年轻人的称呼）
earn|vt.赚得；赢得；获得
barrier|n.栅栏；障碍物；屏障
sensor|n.传感器；探测器
mount|v.登上；爬上；装上；上升; n.底板；爬上；支架；乘用马; n.山；峰
vaccine|n.疫苗
superfine|adj.过细的；微细的；极好的
iconic|adj.图像的；肖像的；图标的
pouch|n.小袋；小包；囊状袋; vt.装...入袋中；用袋运输; vi.用袋送信件
hibernate|vi.冬眠；蛰伏；过冬
frustrated|adj.失意的；沮丧的；失败的
adorable|adj.值得崇敬的；可爱的
mosques|清真寺
soy|n.大豆；酱油
overpass|n.天桥；立交桥; vt.超越；胜过；忽略
coconut|n.椰子
visible|adj.看得见的；可见的；显而易见的
sacred|adj.神圣的；受尊重的
protective|adj.保护的；防卫的
sprint|vi.全力奔跑；冲刺; n.短距离赛跑；冲刺
backpack|n.双肩背包; v.挑运；背包徒步旅行
kindergarten|n.幼儿园
fist|n.拳头; vt.紧握；用拳头打
jackrabbit|n.长耳大野兔
predators|食虫动物
reopen|v.重开；再开
fluffy|adj.毛绒绒的；蓬松的；空洞的
poop|n.舵楼；船尾；粪便；内幕; vt.使疲倦；船尾受击; vi.排便
chomp|v.大声地咀嚼；反复咀嚼; n.有力的咀嚼
thali|n.(印度装食物用的)大浅盘
cuisine|n.烹饪；佳肴
bees|蜜蜂
nest|n.巢；窝; vt.为...筑巢；嵌入; vi.筑巢；寻找鸟巢
lichens|地衣类,地衣
internment|n.拘禁
haven|n.港口；避难所; v.安置...于港中；庇护
juicy|adj.多汁的；利润丰厚的；有趣的
somalia|n.索马里（非洲东部一国）
drive-by|adj.飞车而过的; n.从行驶的汽车上的射击
celebration|n.典礼；宗教仪式；庆祝，祝贺
lettuce|n.莴苣；生菜；纸币
lawmaking|n.立法
