mare|n.母马；母驴；(月球等)表面阴暗处
buoy|n.浮标；浮筒；救生圈；救生衣; v.使浮起；支持；鼓励；用浮标指示
freak|n.怪人；狂热爱好者；怪事；反复无常; adj.奇异的；不正常的; vt.使强烈反应(震惊；畏惧); vi.在药物影响下变得异乎寻常
universal|adj.普遍的；全世界的；宇宙的；全体的；通用的; n.通用原理，普遍原则
constantly|adv.不断地；经常地
snatch|n.抢夺；一阵；一点点; v.夺取；抓住
evade|v.逃避；躲避；规避
landlord|n.地主；房东
concentration|n.集中；专心；浓度
frown|n.皱眉；不悦; v.不同意；皱眉头
seashore|n.海滨
presto|adv.(音乐演奏)急速; adj.(音乐)急速的; n.(音乐)快拍；急速
pickup|n.拾起；（开车)去接；搭便车者；获得；加速；拾音器；小型卡车；实况转播；（生意）好转；逮捕；发现，截获；固定器；随便买的东西; adj.临时的；凑合的
convention|n.大会；协定；惯例；公约
nursery|n.托儿所；保育室；苗圃
termite|n.白蚁
desolate|adj.荒凉的；荒芜的；孤单寂寞的
oceans|n.大洋
alibi|n.不在场证明或辩解；托辞; v.辩解；找托辞开脱
temper|n.脾气；性情; vt.使缓和；调和；锻炼
sequence|n.顺序；连续；次序；一系列; vt.按顺序排好
polo|n.马球；水球；马球装束
shorten|v.弄短；变短
governor|n.统治者；管理者；理事；州长；总督；调节器
impatience|n.不耐烦；急迫
spectacular|adj.壮观的；令人惊叹的; n.壮观；豪华节目
bookstore|n.书店; =bookshop.
corpse|n.尸体
precipitation|n.仓促；急躁；沉淀；降雨量；坠落；凝结；冰雹
charmer|n.魔术师；巫师；迷人的人，讨人喜欢的人
rattlesnakes|响尾蛇
binoculars|n.双眼望远镜
parade|n.游行；检阅；游行地; vi.参加游行；阅兵；散步；炫耀; vt.夸耀；使参加游行；检阅；绕行
pub|n.酒吧；酒馆
tyre|n.轮胎; =tire（美）.; Tyre：提尔(古代腓尼基的有名港口；现属黎巴嫩).
reel|v.卷；绕; v.眩晕；旋转；蹒跚; n.卷筒；线轴
glimpse|n.一瞥；一闪；略微；隐约感觉; v.瞥见
amusement|n.乐趣，娱乐；消遣
painter|n.画家；油漆匠
cod|n.鳕鱼; v.哄骗；愚弄
accidentally|adv.偶然地；意外地；附带地
horsepower|n.马力(功率单位)
invasion|n.侵略；侵入
handball|n.手球；墙手球运动
thankful|adj.感谢的；感激的
wrist|n.手腕；腕部
snail|n.蜗牛
haircuts|(纸面)微裂痕,毛痕,粘丝,贴丝
sculptor|n.雕刻家
bedside|adj.床边的；病床边的; n.床边
jug|n.水壶；罐；监牢; vt.罐焖；把……关进监狱
speedboat|n.快艇
saint|n.圣人；圣徒; vt.把...封为圣人
doorknob|n.球形门把手
gorilla|n.大猩猩；残暴的人
cargo|n.货物；船货
stepmother|n.继母；后母
underneath|adv.在下面; n.下部；底部; prep.在...下面
eel|n.鳗鱼；鳝鱼
originally|adv.原本；起初；独创地
ratty|adj.糟糕的；破烂的；卑鄙的；像老鼠的；鼠多的; adj.恼怒的
recruit|v.吸收(新成员)；征兵；招聘; n.新成员；新兵
haul|v.拖；拉；拖运; v.（使船）改变方向; n.拖；拉；搬运
gunpowder|n.火药
examiner|n.主考者；审查员
stud|n.大头钉；饰钉；立柱；板墙筋；壁骨；种马；耳环；年轻男子; vt.镶嵌；点缀
polecat|n.臭猫；臭鼬类动物
tricycle|n.三轮车
playgrounds|游戏场地
slim|adj.苗条的；微小的；细长的; v.减肥；缩减
hut|n.小屋；棚屋; v.在棚屋中隐蔽
enthusiast|n.热心人；热衷者
brass|n.黄铜(制品)；铜管（乐器）；厚脸皮; adj.黄铜的
snuggle|v.依偎；挨近
mermaid|n.美人鱼
daddy|n.爸爸
blaze|n.火焰；烈火；光辉；(光或色彩的)展现；(感情的)迸发；(动物面部的)白斑；记号; v.燃烧；发光；迸发；传播；在(树皮)上刻记号
superior|n.上级；高手；上标; adj.高傲的；上层的；上好的；出众的
port|n.港口
explosions|爆炸
encouragement|n.鼓励；激励
stink|n.臭味；臭气; vi.发臭味；招人讨厌
spite|n.恶意；怨恨; v.刁难；惹怒；冒犯
relieve|v.救济；减轻；解除；偷
hazard|n.危险；冒险；危害; vt.冒险；赌运气; 阿扎尔（英超切尔西队球员）
smoothly|adv.平滑地；流畅地
footstep|n.脚步；脚步声；足迹
fiery|adj.火的；炽热的；激烈的；暴躁的；辛辣的
allergic|adj.过敏的；反感的
situations|现状
sushi|n.寿司(一种日本食品)
storybook|n.故事书；小说; adj.故事般的
ventilate|vt.使...空气流通；通风
petrol|n.汽油
eruption|n.爆发；喷发；出疹；长牙
bull|n.公牛；股市看涨的人；警察; n.荒谬的话; n.教皇诏书; adj.公牛的；鲁莽的
blacken|v.(使)变黑；诽谤
baguette|n.法式长棍面包；长方形的宝石
armor|n.盔甲；装甲
brim|n.边；边缘; v.（装）满；（使）溢出
celebrity|n.名人；名誉；社会名流
depth|n.深度；深刻；深奥；深；厚度
happenings|n.事件；意外发生的事
whisky|n.威士忌酒; =whiskey(美).
rapidly|adv.迅速地；很快地
suspicious|adj.可疑的；多疑的
inspector|n.检查员；巡视员；巡官
stash|vt.隐藏；储藏; n.隐藏地点；隐藏物
czar|n.沙皇；独揽大权者
infer|vt.推断；猜测；暗示; vi.作出推论
ink|n.墨水；墨汁
sender|n.寄件人；发报机；送话器
vibration|n.震动；颤动
officially|adv.官方地；正式地；公务上；职务上
tulips|郁金香
peculiar|adj.奇怪的；特殊的；独特的；古怪的; n.特权
crashing|adj.绝对的；彻底的；非凡的
actress|n.女演员
snowstorm|n.暴风雪；雪暴
commentator|n.评论员；解说员；注释者
markers|标记
reluctant|adj.不情愿的；勉强的
scooter|n.踏板车；小型摩托车
ex|prep.【商】在...交货，在…前免费；从，自，根据；【经】不，无，不包括; n.已离婚的丈夫（或妻子），过去的情人；字母X；X形物; adj.以前的，旧时的
pretended|adj.假的；虚伪的
limelight|n.众人注目的中心；聚光灯；以灰光灯照射的舞台; v.使受到注目
cranky|adj.怪癖的；不稳的
wheeze|v.喘息；呼哧呼哧地响; n.喘息声
burners|炉
mournful|adj.悲恸的；悲哀的；令人惋惜的
worthless|adj.无价值的；无用的；可鄙的
tile|n.瓷砖；瓦片; v.盖瓦；铺瓷砖
outcome|n.结果；后果
sympathetic|adj.同情的；共鸣的；赞同的; n.交感神经
artiste|n.艺人；表演艺术家
delight|n.高兴；快乐; v.(使)高兴；(使)欣喜
rivalry|n.敌对；竞争；对抗
reputation|n.好名声；声誉，名声，名气
successfully|adv.成功地，圆满地
caller|n.打电话的人；来访者；呼叫者
ghost|n.幽灵；鬼魂; n.[计]美国赛门铁克公司旗下的硬盘备份还原工具
oldies|n.老人
erect|vt.使竖立；建立；建造; adj.直立的；竖立的；笔直的
impatiently|adv.不耐烦地；急躁地
performances|性能
sneer|n.冷笑；嘲笑; v.嘲笑；冷笑
sculpture|n.雕塑；雕刻; v.雕刻；雕塑；刻蚀；当雕刻师
fable|n.寓言；神话；无稽之谈; v.讲寓言；虚构
nail|n.钉子；指甲；爪; vt.钉；抓住；使固定
retirement|n.退休；隐匿处
lighthouse|n.灯塔
caribou|n.北美驯鹿
promptly|adv.迅速地；准时地；立即
desperately|adv.拼命地；绝望地；极严重地；孤注一掷地
fortunately|adv.幸运地；幸亏
cling|vi.紧贴；附着；依恋；坚持; n.紧抓；紧贴
swimmers|白色有光绒面呢
scaly|adj.有鳞的；剥落的；被虫蛀的；卑劣的
spoil|v.宠坏；溺爱；破坏；腐坏；使索然无味; n.战利品；奖品
despair|n.绝望；失望; vi.失望
busiest|最忙的
sneeze|n.喷嚏; vi.打喷嚏
cattle|n.牛；家畜；畜牲
turnaround|n.周转时间；好转；转身；回车场；（轮船、飞机的）终点装卸时间
truant|n.懒惰鬼；旷课者; adj.偷懒的；旷课的；游荡的; v.偷懒；旷课
afternoons|adv.每天下午
splendid|adj.极好的；辉煌的；壮观的；杰出的
curse|n.诅咒；咒骂；祸端; vt.诅咒；咒骂；使受罪; vi.诅咒；咒骂
bomber|n.轰炸机；投弹手
tighten|vt.使紧；勒紧；固定; vi.变紧
unlucky|adj.倒霉的；不幸的；不吉利的
fanatical|adj.狂热的；入迷的
happiness|n.幸福；快乐；适当
liftoff|n.（火箭等）发射；起飞
fireman|n.消防队员；司炉工
seller|n.卖方；售货者；畅销品
hay|n.干草；一小笔钱；床
undisturbed|adj.未受干扰的；安静的；镇定的
wagon|n.四轮马车；货车; v.用四轮马车运
rival|n.竞争者；对手；同伴; adj.竞争的; v.竞争；与...相匹敌
needle|n.针; vt.用针缝；激怒；嘲弄; vi.缝纫
immense|adj.巨大的；广大的；非常好的
graze|v.放牧；（牛、羊等）吃草; v.轻擦；擦伤; n.放牧; n.擦伤
matador|n.斗牛士
millennium|n.一千年；太平盛世
grasshopper|n.蚱蜢；蝗虫；轻型飞机；蚱蜢鸡尾酒
boomerang|n.自食其果的行为；回飞镖; v.自食其果
woollen|n.毛织品; adj.羊毛制的
gratitude|n.感激；感谢；感恩
occasionally|adv.偶尔地
survivor|n.幸存者
dairy|n.牛奶场；乳品店；乳制品；地方小店; adj.牛奶的；乳制品的
forming|n.形成(成形法；模锻); v.形成
conscience|n.良心；是非之心；顾忌
holder|n.持有者；支持物
spooky|adj.幽灵一般的；有鬼一样的；令人毛骨悚然的
bulletin|n.公报；期刊；新闻快报；公示; vt.发表；用公告通知
anchorman|n.新闻节目主播；接力赛中的最后一棒
grandson|n.孙子；外孙
tiptoe|n.脚尖; v.用脚尖走; adv.用脚尖
semi|n.半挂车；半挂车货车；半决赛; pref.表示“一半的；部分的；不完全的”
businessman|n.商人
postcard|n.明信片; adj.如画的
welsh|v.不付赌金而溜掉；逃避责任; Welsh:; n.威尔士人; adj.威尔士人的；威尔士语的
sundown|n.日落时分
predator|n.食肉动物；掠夺者；（动物的）捕食性天敌
entitle|vt.取名为；使有权利
prisoner|n.囚犯
terribly|adv.可怕地；非常地；很
resin|n.树脂；松香；树脂制品; vt.涂树脂
playtime|n.课间休息时间；娱乐时间；上演时间
continually|adv.不断地；频繁地
bold|adj.大胆的；陡峭的；醒目的；粗体的；无礼的
stab|v.刺；戳；刺伤; n.刺；戳；刺痛；尝试
creep|vi.蹑手蹑脚地走；爬；渐渐出现；蔓延；毛骨悚然; n.卑鄙小人；爬；徐行；蠕动
rudely|adv.无礼地；粗鲁地；粗陋地
headless|adj.不在意的；没有头的；愚笨的
sprinkle|v.洒；撒；下稀疏小雨; n.少量散布的屑状物
foal|n.驹子; v.生仔
counter|n.柜台；筹码；计数器；反驳; adj.相反的; adv.与…相反地; v.反对；反击
macaroni|n.通心粉
settlers|移民
heavily|adv.重重地；沉重地；沉闷地；猛烈地；厉害地；稠密地
greatly|adv.很；非常；大大地
kindly|adj.和蔼的；温和的；爽快的; adv.温和地；亲切地
darn|v.织补; n.补钉; int.该死（damn的委婉语）
aeroplane|n.飞机
stalk|n.茎；梗; n.跟踪；高视阔步; v.悄悄靠近；跟踪；蔓延；高视阔步地走
chimney|n.烟囱
squawk|n.叫声；嘈杂的抱怨; v.呱呱地叫鸣；喋喋不休地发牢骚
haunt|n.常到的地方; vt.缠住；常到；出没(像鬼魂一样); vi.徘徊；出没(像鬼魂一样)
wasps|胡蜂
rapids|n.急流；湍流
grunt|v.咕哝；（猪等）打呼噜; n.咕哝；呼噜声
upstream|adj.上游的；逆流而上的; adv.向上游；逆流地
squishy|adj.湿软的；粘糊糊的；感情脆弱的
heartbroken|adj.悲伤的
coincidence|n.巧合；一致；同时发生
tap|n.龙头；塞子；窃听; n.轻拍；轻敲；鞋掌; v.轻拍；轻击；补鞋掌；选择; v.开发；利用；索要；装龙头；窃听
plough|v.用犁耕田；耕犁；开(路); n.犁；耕地；铲雪机
framework|n.框架；体系；结构
downhill|adv.向山下；走下坡路地; adj.下坡的；向下的
tamer|n.驯养人
observers|观测器
sarcastic|adj.讽刺的
miraculously|adv.奇迹般地
beeswax|n.蜂蜡
trapeze|n.吊杠（杂技演员和体操运动员用的）
hitchhike|v.搭便车
bomb|n.炸弹; vt.轰炸；投弹于; vi.投弹；失败
lane|n.小路；小巷；行车道；跑道；航道
spying|间谍活动
virtue|n.美德；德行；优点；贞操
vent|n.排气口；火山口；发泄；表达; v.发泄；表达；排放
tales|n.[律]候补陪审员召集令
axle|n.轮轴；车轴
