|【20210501第一轮】==========
helped|v.帮助；有助于；促进；擅自拿取；（不）能防止或避免某事物; n.帮助；援助；帮手；佣人；仆人; int.救命！
offered|v.提供；奉献；提议; vbl.提供；奉献；提议
acres|n.土地；耕地；地产
railroads|n.铁路；铁路公司; =railway（英）.; vt.由铁道运输；使（议案等）草草通过；迫使仓促行事; vi.在铁路公司工作
came|v.来；来到；来取、来拿；成为；达到；接近；摆出...的样子；处于（某个位置）
markets|n.市场；集市; v.销售；推销；买卖
lighter|n.打火机，点火器；点火者，点灯者；驳船; v.用驳船运，驳运; adj.light的形容词/副词比较级
technologies|n.技术；工艺；工艺学
quiz|n.恶作剧；测验；问答比赛; v.盘问；对...进行测验
history|n.历史；历史学；对过去事情的记载；过去的事
changing|vbl.变更；换车；兑换
conductor|n.售票员；导体；指挥
trains|n.列车；火车；行列；一系列; vt.训练；培训；瞄准; vi.进行锻炼，接收训练；练习
schedules|n.时间表，日程；一览表；计划; v.预定；安排；编制目录
railroad|n.铁路；铁路公司; =railway（英）.; vt.由铁道运输；使（议案等）草草通过；迫使仓促行事; vi.在铁路公司工作
watches|v.注视；看守；观看; n.手表；监视；看守；值班
lucky|adj.幸运的；带来好运的
clock|n.时钟; v.计时；打卡
calendars|n.日历；历法；日程表；一览表; vt.把...列入日程表
sundials|日晷
sundial|n.日昝仪；日规
tells|v.告诉；吩咐；讲述；表达；辨别；判断；泄露；告发；产生效果
simplest|adj.简单的；单纯的
shined|v.照耀；出色；发光；投光于；使发光; n.光泽；光辉；阳光；擦皮鞋（美）；喜欢；鬼把戏（复）
shadows|n.影子；阴影；阴暗；荫；暗处; vt.投阴影于；跟踪；预示; vi.渐变；变阴暗; adj.影子内阁的；阴影的
mechanical|adj.机械的；力学的；呆板的
gears|n.传动装置；齿轮；排挡；工具；装备; v.调整；使适应于；以齿轮连起
tick|v.滴答作响；给...标记号；运作；空转; n.滴答声；一会儿；勾号；壁虱；蜱虫；枕套；褥套；赊欠
clocks|n.时钟; v.计时；打卡
machinery|n.机械；(总称)机器
wheels|n.方向盘；车轮；旋转；周期; vi.旋转；转动；改变方向; vt.用车运；转动；给...装轮子
gear|n.传动装置；齿轮；排挡；工具；装备; v.调整；使适应于；以齿轮连起
connects|v.连接；接通；联系
perfectly|adv.完全地；无瑕疵地；完整地；完美地；圆满地
european|adj.欧洲的；欧洲人的; n.欧洲人
cities|n.城市；都市；全体市民；特许市；特权市; City.; n.（伦敦最古老的金融商务中心）伦敦商业区
rang|n.戒指；环；圈；拳击场；马戏场；帮派; n.铃声；钟声；电话；口气; v.包围；环绕；形成圈; v.打电话；回响；鸣响；按铃；听上去
pendulum|n.摆锤；钟摆；摇摆不定
hangs|v.悬挂；(使)低垂；悬浮(在空中)；逗留；绞死; n.悬挂方式；悬挂；绞刑
swings|n.摇摆；改变；冲力；秋千; v.摇摆；旋转；动摇
forth|adv.向前；向外；露出
commons|n.英国国会下院（theHouseofCommons）
evenly|adv.平衡地；平坦地；平等地
quartz|n.石英
called|vt.呼叫；打电话；把...称为; n.打电话；访问；召唤；呼叫；把...看作; vi.呼叫；(短暂的)拜访
happens|vi.发生；碰巧；出现；偶遇
atomic|adj.原子的
precise|adj.精确的；恰好的；准确的；严格的
timing|n.时间的掌握；时间的安排；时机；定时
throughout|prep.遍及；贯穿; adv.自始至终；到处
prehistoric|adj.史前的；陈腐的; =prehistorical.
cycles|n.循环；周期；自行车；摩托车; v.骑自行车；(使)轮转；(使)循环
edges|n.边缘；优势；边；刀口; vt.给...加上边；缓慢横过；使锋利; vi.徐徐前进
cellphone|n.手机；便携无线电话
networks|n.网点；网络；网状系统；广播公司
improves|vt.改善；改进；提高; vi.变得更好；改进
arts|n.文科
series|n.（单复同）系列；丛书；连续
reveals|vt.显示；透露；揭示；展现; n.(外墙与门或窗之间的)窗侧；门侧；(汽车的)窗框
careers|n.生涯；职业；事业; vi.猛冲；飞跑
engineering|n.工程学；工程
poses|v.摆姿势；把...摆正位置；造成；提出；假装; n.姿态；姿势；装腔作势
mission|n.使命；代表团；任务；布道
unstoppable|adj.无法停止的；无法阻碍的
working|adj.做工作的；劳动的；工作上的；初步的；暂定的；基本够用的；起作用的; n.矿；作业区; （复）workings：运作；工作方法.
fields|n.域；字段; 名词field的复数.
kids|n.小孩；年轻人；小山羊；小山羊皮制品; vi.(山羊等)下崽；捉弄; vt.开玩笑；哄骗；嘲弄; adj.较年幼的
stem|n.柄；茎；干；船首; vi.起源于; vt.抽去...的梗；给...装柄；逆...而行；阻止，遏制
lessons|n.教训；课，功课，课业；榜样，典范; vt.教训，告诫，训斥；给...上课
works|n.工厂；修建；机器部件；全套物品
talks|会谈
episode|n.一段情节；片段；轶事；插曲
prosthetic|adj.假体的；修复术的；非朊基的
