highways|高速公路
fraught|adj.充满的；伴随的；忧伤的；忧虑的
uncertainty|n.不确定；不可靠；易变
unwanted|adj.不需要的；多余的；无用的；讨厌的；不受欢迎的
vulnerable|adj.易受伤害的；有弱点的；脆弱的
climbers|脚扣
drive-by|adj.飞车而过的; n.从行驶的汽车上的射击
grasslands|草原
offspring|n.后代；子孙；产物
predators|食虫动物
stake|n.桩；赌注；利害关系; v.用桩支撑；下注
bearded|adj.有胡须的
skunk|n.臭鼬；臭鼬皮；讨厌鬼; v.使惨败；欺骗
racism|n.民族的差别主义；人种偏见，种族主义（通常指基于种族的偏见、暴力、歧视与迫害）
aboriginal|adj.原始的；土著的; n.土著居民；土生生物
northeastern|adj.东北方的；在东北的；来自东北的
fret|v.(使)烦恼；(使)焦急；(使)磨损；侵蚀; n.烦躁；磨损；焦急; n.[音]音品；音柱
patch|n.小片；补丁；眼罩；（贴在伤口的）膏药；【生态】斑块; vt.修补；补缀；解决；掩饰
fritillary|n.贝母属植物；豹纹蝶
oxygen|n.氧；氧气
normalcy|n.常态
echidna|n.针鼹鼠
hawk-eye|鹰眼
ecosystem|n.生态系统
involve|vt.包含；使忙于；牵涉；使卷入；使陷入
climates|气象条件
friendliness|n.友好；亲切
inequity|n.不公平；不公正
koala|n.考拉；树袋熊
bree|n.肉汤；清汤
self-sufficient|adj.自给自足的；过于自信的
vaccination|n.接种疫苗；种痘
longest|adj.最长的
harmless|adj.无害的；无恶意的
supporters|n.支持者；载体
cactus|n.仙人掌
co-exist|vi.并存
puma|n.美洲狮
takeoff|n.起飞；模仿；起跳
nest|n.巢；窝; vt.为...筑巢；嵌入; vi.筑巢；寻找鸟巢
conservation|n.保存；保护；守恒；节约
wing|n.翅膀；翼; v.飞过；空运；临时发挥
bat|n.球棒；球拍; n.蝙蝠; v.用棒击打；拍打; v.眨眼睛
apartment|n.一套公寓房间
caatinga|卡丁加群落
religions|宗教
