lick|v.舔；轻拍；击败；掠过; n.舔；少许；打；速度
cuisine|n.烹饪；佳肴
athletes|运动员
fennec|n.[动]一种非洲产的大耳小狐
somalia|n.索马里（非洲东部一国）
maid|n.【C】女仆；侍女; n.【古】未婚女子
beak|n.鸟嘴；鸟嘴状物体；鹰钩鼻; n.地方治安官；校长
marker|n.标记；做记号的工具；做记号的人；记分员
cheek|n.面颊；脸蛋
sigh|n.叹气；叹息; v.叹息；惋惜
archive|n.档案；档案馆; vt.存档
delta|n.(河流的)三角洲；希腊语第四个字母（Δ、δ）
scotia|n.凹形边饰; Scotia.; n.苏格夏(苏格兰的拉丁名称)
