strategy|n.策略；战略
quick|adj.迅速的；快的；机敏的; adv.迅速地；快
mound|n.土墩；小丘；一堆; v.筑堤；用土堆防卫
August|adj.（a~）威严的；尊贵的; n.八月
swatch|n.（布料等的）样品; Swatch.; n.斯沃琪(一瑞士手表品牌)
tightly|adv.紧紧地；坚固地
marriage|n.结婚；婚姻；紧密结合
detailed|adj.详细的
devices|n.设备
recharge|v.再充电；（给枪）再装弹药；再进攻；恢复精力
redistribute|v.重新分配；再区分
congress|n.代表大会；议会; n.立法机关; n.国会
meteorite|n.陨石；流星
lifestyle|n.生活方式
pocket|n.口袋；袋子；球袋；钱；小块地方；在...掌握之中；保障金; adj.小型的；孤立的；局部的; v.装...在口袋里；私吞；击(球)落袋
dense|adj.密集的；稠密的；浓密的
layer|n.层; vi.分层; vt.将某物堆积成层
dollar|n.美元
February|n.二月
exploration|n.探险；探索；勘探；探测
avalanche|n.雪崩；大量; v.雪崩
conception|n.概念；观念；构想；怀孕
crater|n.坑(陨石坑、弹坑等)；凹地；火山口
zoom-in|[计]移前
upward|adj.向上的；上升的; adv.向上；上升
rovers|n.巡游者；海上掠夺
discussion|n.讨论；谈论
rural|adj.农村的，乡村的，田园的
pardon|n.原谅，宽恕，饶恕；赦免，赦免状; vt.原谅；宽恕，饶恕；赦免，免于治罪
entertainment|n.娱乐
satellite|n.卫星；人造卫星
got it|知道了
pound|n.磅；英镑; n.（汽车）扣押所；宠物收留所; vt.捣碎；敲打；连续猛击; vi.咚咚地走；怦怦地响
continuously|adv.不断地；连续地
happy|adj.高兴的；幸福的；幸运的；乐意的
orbiter|n.轨道飞行器；人造卫星
bow|n.弓；鞠躬礼；蝴蝶结；船头; v.鞠躬；致敬；压弯
Wednesday|n.星期三
allows|允许
European|adj.欧洲的；欧洲人的; n.欧洲人
September|n.九月
instance|n.例子；场合；情况；要求；诉讼程序; vt.举例说明
silver|n.银币；银器；银；银灰色; adj.银的；银色的; vt.镀银于；使...成银色
society|n.社会；(共同遵守一定的习俗、法律等的）特定群体；社团；协会；上层社会；社交圈；交往
clue|n.线索；提示
kilograms|千克；公斤
hover|v.盘旋；徘徊；靠近（某事物），维持在某种不确定的状态; n.盘旋
horizons|剖面
hawk|n.鹰；鹰派人物、主战分子；贪婪的人；清嗓; v.沿街叫卖；散布；鹰扑；放鹰行猎；清嗓
zone|n.地域；地带；地区
mainly|adv.主要地；大部分地
selection|n.选择；挑选；挑选出来的人或事
medicine|n.药；医学
stream|n.(小)河；水流；(人；车；气)流；组; v.流动；流出；飘动；将(学生)按能力分组
gravity|n.重力；庄重；严重；严肃
heaven|n.天空；天堂; Heaven.; n.上帝
covering|n.覆盖物; adj.掩护的；掩盖的
submit|vt.使服从；使屈服；提交；递交；认为; vi.屈从
shook|n.(装配木桶或箱；盒等的)一套现成板料; shake的过去式.
propellers|螺旋辊
west|n.西；西方；西部；西方国家; adj.西方的；西部的; adv.向(在)西方
sunlight|n.日光；阳光
specially|adv.特别地；专门地；尤其
season|n.季节；赛季；旺季；时期; v.给...调味；适应；风干
solar-powered|adj.太阳能的
Saturday|n.星期六
official|adj.正式的；官方的；公务上的; n.官员
treatment|n.治疗；对待；处理
illustration|n.说明；插图；图解；例证
deploy|v.部署；展开；进入战斗位置；配置
conjunction|n.结合；关联；连词；(事件等的)同时发生
girlfriend|n.女朋友；女性朋友
essay|n.论文；短评；散文；试图; vt.尝试
gas|n.煤气；气体；汽油；空话; vt.使吸入毒气；毒(死)；给...加汽油; vi.空谈；加汽油
Bless you|祝福你
activity|n.活动；活跃; vt.表演; adj.厉害
paragraph|n.段落；节; vt.将...分段；写短评报道; vi.写短评
toast|n.吐司；烤面包; n.祝酒；祝酒词；被祝酒的人; v.烤；烘; v.(为...)祝酒
perseverance|n.不屈不挠；毅力；坚韧不拔
charge|n.责任；电荷；指控；费用；照顾; vi.要价；充电；向前冲，冲锋；记在账上; vt.控诉；赊帐；给...充电；委以重任；归罪于；装填（炸药等）
smaller|adj.较小的
aircraft|n.飞机
collector|n.收集家；收税员；收取款项的人；收集器
seep|v.渗出；渗漏; n.渗漏；小泉；水坑
fourteenth|num.第十四; n.十四分之一；每月的第十四天
planets|行星
