broccoli|n.西兰花；花椰菜；甘蓝花
veterinarian|n.兽医
seafood|n.海产食品；海味
lurk|v.潜藏；潜伏；埋伏; n.潜伏；隐藏
athlete|n.运动员
climates|气象条件
graduation|n.毕业；毕业典礼；分度；刻度线；分级
sophisticated|adj.老练的；精密的；复杂的；久经世故的
wacky|adj.(行为等)古怪的；愚蠢的
muscle|n.肌肉; v.硬挤；变硬实
equality|n.同等；平等；[数]等式
dinosaur|n.恐龙; n.(俚)过时、落伍的人或事物
racial|adj.种族的；人种的
franklin|n.小地主；乡绅
swirl|n.漩涡；涡状形; v.（使）成漩涡；盘旋；眩晕
barley|n.大麦
breezy|adj.有微风的；轻松活泼的
marine|adj.海的；海事的；海生的；航海的; n.海运业；船舶；水兵
protozoa|n.原生动物；单细胞动物
hollow|adj.空的；空洞的；凹陷的；虚伪的；(声音)沉闷的; n.山谷；洞；窟窿; vt.挖空; vi.形成空洞; adv.完全地；彻底
chips|n.炸土豆条(片)；碎屑；缺口；筹码; 钱; [电]集成电路片
fantasy|n.幻想; v.幻想
batch|n.一批；一炉；一次所制之量; v.分批处理
blueberries|蓝莓
dictator|n.独裁者
continent|n.大陆；洲；(theContinent)欧洲大陆
bonk|v.撞击或使接触; n.对头部的打击；闷响
auntie|n.伯母；阿姨；姑妈；婶婶；舅母；姨母
erosion|n.腐蚀；侵蚀；减少，流失
avocado|n.[植]鳄梨；鳄梨树
quail|n.鹌鹑; vi.畏缩；胆怯
hippo|n.河马; =hippopotamus
actively|adv.积极地；活跃地；勤奋的
pandemic|adj.全国流行的; n.流行病
indigenous|adj.土生土长的；本地的；天生的
reader|n.读者；读物；读本
kickball|n.踢球
dioxide|n.二氧化物
canned|adj.罐装的；预录的；千篇一律的
bridle|n.马笼头，缰绳；约束，约束物; v.给...套笼头；控制（感情等）；动怒
counting|n.计算
bone|n.骨骼；骨；核心; vt.除去骨头；往衣服里加撑条；磨光表面; vi.努力学习; adv.非常地；极其地
juicy|adj.多汁的；利润丰厚的；有趣的
rib|n.肋骨；肋状物; vt.装肋于；用肋状物支撑
skeleton|n.骨架；纲要；骨骼；骨瘦如柴的人或动物；家丑; adj.骨骼的
sizes|n.大小
entertain|v.娱乐；使有兴趣；招待；考虑；抱有；容纳
rot|n.腐烂；腐蚀；败坏；胡话; v.腐烂；使...枯朽；消瘦
hind|adj.后部的；在后的; n.雌鹿；石斑鱼
pelvis|n.骨盆；盆骨；肾盂
readers|n.读者
bug|n.臭虫；窃听器；[计]漏洞; v.窃听；打扰；失去(镇定)
hippopotamus|n.河马
oatmeal|n.燕麦片；燕麦粥；浅棕色
colony|n.殖民地；侨居地；侨民；聚居(地)；群体；菌落
oven|n.烤箱；烤炉
